Bricks,Ours,Liu_et_al
189,0.428,117.75468657974136
189,0.428,117.75468657974136
190,0.43,119.23619932015231
191,0.432,120.72942358997918
192,0.434,122.23439008794517
194,0.438,125.27967216356272
195,0.44,126.82004874089698
197,0.444,129.9364248863705
200,0.45,134.70049999927087
201,0.452,136.31251498679427
202,0.454,137.9365748871674
203,0.456,139.57270955155172
207,0.464,146.2385903071959
207,0.464,146.2385903071959
209,0.46799999999999997,149.64475003922138
210,0.47,151.3662377679026
211,0.472,153.10003646440686
215,0.48,160.15892404873273
218,0.486,165.5837792469149
218,0.486,165.5837792469149
219,0.488,167.4171114263085
221,0.492,171.1215185691679
221,0.492,171.1215185691679
221,0.492,171.1215185691679
221,0.492,171.1215185691679
222,0.494,172.99265067567455
223,0.496,174.8764397933839
224,0.498,176.77291433315497
224,0.498,176.77291433315497
225,0.5,178.68210264235864
226,0.502,180.60403300530106
228,0.506,184.48623271681333
228,0.506,184.48623271681333
228,0.506,184.48623271681333
231,0.512,190.4058012147002
231,0.512,190.4058012147002
231,0.512,190.4058012147002
234,0.518,196.4415634765159
235,0.52,198.47943491505168
236,0.522,200.5303278717903
236,0.522,200.5303278717903
237,0.524,202.59426996400123
237,0.524,202.59426996400123
238,0.526,204.67128875062787
239,0.528,206.76141173265552
240,0.53,208.8646663534753
240,0.53,208.8646663534753
242,0.534,213.11067999924495
242,0.534,213.11067999924495
244,0.538,217.40954809678664
244,0.538,217.40954809678664
245,0.54,219.57887057166215
245,0.54,219.57887057166215
246,0.542,221.76148815612356
246,0.542,221.76148815612356
246,0.542,221.76148815612356
246,0.542,221.76148815612356
247,0.544,223.95742790028777
247,0.544,223.95742790028777
248,0.546,226.1667167994587
249,0.548,228.38938179445904
252,0.554,235.1379019523215
253,0.556,237.414339660672
254,0.558,239.70428736313158
256,0.562,244.32481918101342
256,0.562,244.32481918101342
259,0.5680000000000001,251.3576056900045
259,0.5680000000000001,251.3576056900045
259,0.5680000000000001,251.3576056900045
260,0.5700000000000001,253.7291705742107
261,0.5720000000000001,256.1144307109673
263,0.5760000000000001,260.92614173720915
263,0.5760000000000001,260.92614173720915
263,0.5760000000000001,260.92614173720915
264,0.5780000000000001,263.3526449991068
266,0.5820000000000001,268.2470775790957
266,0.5820000000000001,268.2470775790957
267,0.5840000000000001,270.7150589728667
268,0.5860000000000001,273.1969184048249
269,0.5880000000000001,275.69268179104563
269,0.5880000000000001,275.69268179104563
270,0.5900000000000001,278.20237499938804
270,0.5900000000000001,278.20237499938804
271,0.5920000000000001,280.72602384976324
271,0.5920000000000001,280.72602384976324
272,0.5940000000000001,283.2636541143999
273,0.5960000000000001,285.8152915181076
273,0.5960000000000001,285.8152915181076
276,0.6020000000000001,293.55450310592335
276,0.6020000000000001,293.55450310592335
276,0.6020000000000001,293.55450310592335
276,0.6020000000000001,293.55450310592335
277,0.6040000000000001,296.1624253747036
277,0.6040000000000001,296.1624253747036
278,0.6060000000000001,298.7844827043591
279,0.6080000000000001,301.42070054057825
280,0.6100000000000001,304.0711042834069
280,0.6100000000000001,304.0711042834069
280,0.6100000000000001,304.0711042834069
281,0.6120000000000001,306.7357192874928
281,0.6120000000000001,306.7357192874928
281,0.6120000000000001,306.7357192874928
281,0.6120000000000001,306.7357192874928
282,0.6140000000000001,309.4145708623286
283,0.6160000000000001,312.10768427249167
283,0.6160000000000001,312.10768427249167
283,0.6160000000000001,312.10768427249167
284,0.6180000000000001,314.8150847378828
284,0.6180000000000001,314.8150847378828
285,0.6200000000000001,317.5367974339622
286,0.6220000000000001,320.2728474919838
286,0.6220000000000001,320.2728474919838
287,0.6240000000000001,323.02325999922704
287,0.6240000000000001,323.02325999922704
287,0.6240000000000001,323.02325999922704
287,0.6240000000000001,323.02325999922704
288,0.6260000000000001,325.788059999227
288,0.6260000000000001,325.788059999227
289,0.628,328.56727249200264
289,0.628,328.56727249200264
290,0.63,331.36092243428243
290,0.63,331.36092243428243
290,0.63,331.36092243428243
290,0.63,331.36092243428243
292,0.634,336.9916342791606
293,0.636,339.8287458807724
293,0.636,339.8287458807724
293,0.636,339.8287458807724
294,0.638,342.6803943303538
296,0.642,348.4274007058549
296,0.642,348.4274007058549
296,0.642,348.4274007058549
296,0.642,348.4274007058549
296,0.642,348.4274007058549
297,0.644,351.3228079932672
297,0.644,351.3228079932672
297,0.644,351.3228079932672
297,0.644,351.3228079932672
298,0.646,354.2328508520581
298,0.646,354.2328508520581
299,0.648,357.1575538592026
299,0.648,357.1575538592026
301,0.652,363.051038420992
302,0.654,366.0198689247426
302,0.654,366.0198689247426
303,0.656,369.00345747546464
303,0.656,369.00345747546464
304,0.658,372.0018284465088
304,0.658,372.0018284465088
304,0.658,372.0018284465088
304,0.658,372.0018284465088
305,0.66,375.0150061711045
305,0.66,375.0150061711045
305,0.66,375.0150061711045
306,0.662,378.04301494255816
306,0.662,378.04301494255816
307,0.664,381.0858790144483
307,0.664,381.0858790144483
307,0.664,381.0858790144483
308,0.666,384.14362260082044
308,0.666,384.14362260082044
310,0.67,390.30384497668064
310,0.67,390.30384497668064
310,0.67,390.30384497668064
311,0.672,393.40637199831957
311,0.672,393.40637199831957
311,0.672,393.40637199831957
312,0.674,396.52387499912004
312,0.674,396.52387499912004
313,0.676,399.6563779983205
314,0.678,402.8039049767593
315,0.68,405.96647987705813
316,0.682,409.1441266038042
316,0.682,409.1441266038042
317,0.684,412.33686902373097
317,0.684,412.33686902373097
318,0.686,415.54473096589743
318,0.686,415.54473096589743
318,0.686,415.54473096589743
318,0.686,415.54473096589743
319,0.6880000000000001,418.76773622186585
320,0.6900000000000001,422.00590854587824
321,0.6920000000000001,425.2592716550316
321,0.6920000000000001,425.2592716550316
322,0.6940000000000001,428.5278492294515
323,0.6960000000000001,431.81166491246415
324,0.6980000000000001,435.11074231076805
324,0.6980000000000001,435.11074231076805
324,0.6980000000000001,435.11074231076805
324,0.6980000000000001,435.11074231076805
324,0.6980000000000001,435.11074231076805
325,0.7000000000000001,438.4251049946033
325,0.7000000000000001,438.4251049946033
325,0.7000000000000001,438.4251049946033
326,0.7020000000000001,441.75477649792015
327,0.7040000000000001,445.09978031854575
327,0.7040000000000001,445.09978031854575
328,0.7060000000000001,448.4601399183506
328,0.7060000000000001,448.4601399183506
328,0.7060000000000001,448.4601399183506
328,0.7060000000000001,448.4601399183506
328,0.7060000000000001,448.4601399183506
329,0.7080000000000001,451.8358787234124
330,0.7100000000000001,455.22702012417994
330,0.7100000000000001,455.22702012417994
331,0.7120000000000001,458.63358747563507
332,0.7140000000000001,462.0556040974533
332,0.7140000000000001,462.0556040974533
332,0.7140000000000001,462.0556040974533
333,0.7160000000000001,465.49309327416347
333,0.7160000000000001,465.49309327416347
333,0.7160000000000001,465.49309327416347
333,0.7160000000000001,465.49309327416347
334,0.7180000000000001,468.9460782553066
334,0.7180000000000001,468.9460782553066
334,0.7180000000000001,468.9460782553066
336,0.7220000000000001,475.89862845505667
336,0.7220000000000001,475.89862845505667
338,0.7260000000000001,482.9134399992141
339,0.7280000000000001,486.4442515319924
340,0.7300000000000001,489.99069764042264
340,0.7300000000000001,489.99069764042264
340,0.7300000000000001,489.99069764042264
340,0.7300000000000001,489.99069764042264
341,0.7320000000000001,493.55280133346696
341,0.7320000000000001,493.55280133346696
341,0.7320000000000001,493.55280133346696
341,0.7320000000000001,493.55280133346696
341,0.7320000000000001,493.55280133346696
342,0.7340000000000001,497.13058558632514
342,0.7340000000000001,497.13058558632514
343,0.7360000000000001,500.72407334058283
344,0.7380000000000001,504.33328750435874
345,0.7400000000000001,507.9582509524503
346,0.7420000000000001,511.5989865264793
346,0.7420000000000001,511.5989865264793
346,0.7420000000000001,511.5989865264793
346,0.7420000000000001,511.5989865264793
346,0.7420000000000001,511.5989865264793
347,0.7440000000000001,515.2555170350352
347,0.7440000000000001,515.2555170350352
348,0.7460000000000001,518.9278652538183
348,0.7460000000000001,518.9278652538183
348,0.7460000000000001,518.9278652538183
348,0.7460000000000001,518.9278652538183
349,0.7480000000000001,522.6160539257818
349,0.7480000000000001,522.6160539257818
350,0.7500000000000001,526.3201057612722
350,0.7500000000000001,526.3201057612722
351,0.7520000000000001,530.0400434381695
351,0.7520000000000001,530.0400434381695
351,0.7520000000000001,530.0400434381695
351,0.7520000000000001,530.0400434381695
351,0.7520000000000001,530.0400434381695
352,0.754,533.7758896020258
354,0.758,541.2953978120116
354,0.758,541.2953978120116
355,0.76,545.0791049888422
356,0.762,548.8788109143054
356,0.762,548.8788109143054
356,0.762,548.8788109143054
356,0.762,548.8788109143054
356,0.762,548.8788109143054
357,0.764,552.6945380743629
357,0.764,552.6945380743629
358,0.766,556.5263089234612
358,0.766,556.5263089234612
358,0.766,556.5263089234612
359,0.768,560.3741458846642
359,0.768,560.3741458846642
359,0.768,560.3741458846642
360,0.77,564.2380713497838
360,0.77,564.2380713497838
360,0.77,564.2380713497838
360,0.77,564.2380713497838
360,0.77,564.2380713497838
360,0.77,564.2380713497838
361,0.772,568.1181076795107
361,0.772,568.1181076795107
363,0.776,575.9266022207165
363,0.776,575.9266022207165
363,0.776,575.9266022207165
363,0.776,575.9266022207165
364,0.778,579.8551049991297
364,0.778,579.8551049991297
366,0.782,587.7607327591523
366,0.782,587.7607327591523
367,0.784,591.737902124417
367,0.784,591.737902124417
367,0.784,591.737902124417
369,0.788,599.7410625576484
369,0.788,599.7410625576484
369,0.788,599.7410625576484
370,0.79,603.7670978282341
370,0.79,603.7670978282341
371,0.792,607.809465886687
371,0.792,607.809465886687
372,0.794,611.8681887597099
372,0.794,611.8681887597099
373,0.796,615.9432884443803
373,0.796,615.9432884443803
373,0.796,615.9432884443803
374,0.798,620.0347869082685
374,0.798,620.0347869082685
375,0.8,624.1427060895572
375,0.8,624.1427060895572
376,0.802,628.2670678971585
376,0.802,628.2670678971585
376,0.802,628.2670678971585
379,0.808,640.739027730349
379,0.808,640.739027730349
379,0.808,640.739027730349
379,0.808,640.739027730349
380,0.81,644.9293785509843
381,0.812,649.1362811074979
382,0.8140000000000001,653.3597571356055
382,0.8140000000000001,653.3597571356055
383,0.8160000000000001,657.5998283425548
383,0.8160000000000001,657.5998283425548
384,0.8180000000000001,661.8565164072361
384,0.8180000000000001,661.8565164072361
387,0.8240000000000001,674.7264981135439
387,0.8240000000000001,674.7264981135439
388,0.8260000000000001,679.0498698347819
389,0.8280000000000001,683.3899663867033
391,0.8320000000000001,692.1204199992047
391,0.8320000000000001,692.1204199992047
392,0.8340000000000001,696.5108199992047
392,0.8340000000000001,696.5108199992047
393,0.8360000000000001,700.9180307089393
394,0.8380000000000001,705.3420735297086
394,0.8380000000000001,705.3420735297086
395,0.8400000000000001,709.7829698356361
396,0.8420000000000001,714.2407409737723
396,0.8420000000000001,714.2407409737723
397,0.8440000000000001,718.7154082641973
397,0.8440000000000001,718.7154082641973
397,0.8440000000000001,718.7154082641973
397,0.8440000000000001,718.7154082641973
399,0.8480000000000001,727.7155164479937
399,0.8480000000000001,727.7155164479937
399,0.8480000000000001,727.7155164479937
400,0.8500000000000001,732.2409998475875
400,0.8500000000000001,732.2409998475875
401,0.8520000000000001,736.7834644121164
401,0.8520000000000001,736.7834644121164
402,0.8540000000000001,741.3429313283249
403,0.8560000000000001,745.9194217565897
404,0.8580000000000001,750.5129568310177
406,0.8620000000000001,759.7512453240253
406,0.8620000000000001,759.7512453240253
408,0.8660000000000001,769.057965358497
408,0.8660000000000001,769.057965358497
409,0.8680000000000001,773.7370397626928
410,0.8700000000000001,778.4332850714475
411,0.8720000000000001,783.1467222376776
411,0.8720000000000001,783.1467222376776
412,0.8740000000000001,787.8773721887943
412,0.8740000000000001,787.8773721887943
413,0.8760000000000001,792.6252558267955
413,0.8760000000000001,792.6252558267955
413,0.8760000000000001,792.6252558267955
414,0.8780000000000001,797.3903940283591
415,0.8800000000000001,802.1728076449339
418,0.886,816.6239091226983
420,0.89,826.3447349991368
420,0.89,826.3447349991368
421,0.892,831.2312375848314
426,0.902,855.9254733498158
428,0.906,865.9256894774819
428,0.906,865.9256894774819
429,0.908,870.9521343921308
429,0.908,870.9521343921308
430,0.91,875.9961645268545
430,0.91,875.9961645268545
432,0.914,886.1370622721251
432,0.914,886.1370622721251
435,0.92,901.4808087664017
435,0.92,901.4808087664017
436,0.922,906.630779049811
437,0.924,911.7984772762944
438,0.926,916.9839237411613
440,0.93,927.4081424514548
441,0.932,932.6469551719097
441,0.932,932.6469551719097
442,0.934,937.9035970809616
443,0.936,943.1780883588006
444,0.9380000000000001,948.4704491628274
445,0.9400000000000001,953.7806996277302
445,0.9400000000000001,953.7806996277302
445,0.9400000000000001,953.7806996277302
445,0.9400000000000001,953.7806996277302
446,0.9420000000000001,959.1088598655609
446,0.9420000000000001,959.1088598655609
447,0.9440000000000001,964.4549499658118
449,0.9480000000000001,975.2009999991975
449,0.9480000000000001,975.2009999991975
451,0.9520000000000001,986.019009995497
452,0.9540000000000001,991.4550499659166
452,0.9540000000000001,991.4550499659166
453,0.9560000000000001,996.9091398661657
454,0.9580000000000001,1002.3812996299154
457,0.9640000000000001,1018.9063971098273
458,0.9660000000000001,1024.4510352260618
459,0.9680000000000001,1030.0138425461114
459,0.9680000000000001,1030.0138425461114
460,0.9700000000000001,1035.5948388729335
460,0.9700000000000001,1035.5948388729335
462,0.9740000000000001,1046.8114776511075
463,0.9760000000000001,1052.4471596009694
463,0.9760000000000001,1052.4471596009694
466,0.9820000000000001,1069.4638922368363
467,0.9840000000000001,1075.1727642935564
467,0.9840000000000001,1075.1727642935564
467,0.9840000000000001,1075.1727642935564
467,0.9840000000000001,1075.1727642935564
467,0.9840000000000001,1075.1727642935564
468,0.9860000000000001,1080.8999830112239
469,0.9880000000000001,1086.6455680014576
470,0.9900000000000001,1092.4095388549579
470,0.9900000000000001,1092.4095388549579
471,0.9920000000000001,1098.1919151415723
472,0.9940000000000001,1103.9927164103626
474,0.9980000000000001,1115.649671987186
475,1.0,1121.5058652900066
475,1.0,1121.5058652900066
476,1.002,1127.3805615647086
478,1.006,1139.185540793832
478,1.006,1139.185540793832
478,1.006,1139.185540793832
479,1.008,1145.1158625793678
479,1.008,1145.1158625793678
480,1.01,1151.0647649991422
484,1.018,1175.0465680173393
484,1.018,1175.0465680173393
484,1.018,1175.0465680173393
485,1.02,1181.0886636802695
486,1.022,1187.1494558661145
486,1.022,1187.1494558661145
488,1.026,1199.3272067668363
488,1.026,1199.3272067668363
488,1.026,1199.3272067668363
488,1.026,1199.3272067668363
488,1.026,1199.3272067668363
489,1.028,1205.4442039124951
490,1.03,1211.5799744427547
491,1.032,1217.7345375239165
492,1.034,1223.907912302755
493,1.036,1230.1001179065765
494,1.038,1236.311173443279
494,1.038,1236.311173443279
495,1.04,1242.5410980014096
495,1.04,1242.5410980014096
498,1.046,1261.3442764008332
498,1.046,1261.3442764008332
499,1.048,1267.6498675452065
499,1.048,1267.6498675452065
500,1.05,1273.9744228655431
501,1.052,1280.3179613355142
501,1.052,1280.3179613355142
501,1.052,1280.3179613355142
501,1.052,1280.3179613355142
502,1.054,1286.6805019098445
503,1.056,1293.062063524371
504,1.058,1299.4626650960986
504,1.058,1299.4626650960986
505,1.06,1305.882325523255
505,1.06,1305.882325523255
506,1.062,1312.3210636853487
506,1.062,1312.3210636853487
507,1.064,1318.7788984432223
509,1.068,1331.7519330966884
510,1.07,1338.2671706211381
510,1.07,1338.2671706211381
510,1.07,1338.2671706211381
512,1.074,1351.3551799991922
516,1.082,1377.7618609448048
518,1.086,1391.0808317834255
518,1.086,1391.0808317834255
519,1.088,1397.7692901170028
519,1.088,1397.7692901170028
520,1.09,1404.4770885635874
521,1.092,1411.2042457283933
526,1.102,1445.1310622606507
526,1.102,1445.1310622606507
527,1.104,1451.974761447494
534,1.118,1500.4273653117366
535,1.12,1507.4274881678011
536,1.122,1514.447246704959
537,1.124,1521.4866592486305
538,1.1260000000000001,1528.5457441071655
539,1.1280000000000001,1535.6245195718911
539,1.1280000000000001,1535.6245195718911
539,1.1280000000000001,1535.6245195718911
547,1.1440000000000001,1592.9657744914675
550,1.1500000000000001,1614.7958441129892
550,1.1500000000000001,1614.7958441129892
550,1.1500000000000001,1614.7958441129892
557,1.1640000000000001,1666.4303230566259
562,1.1740000000000002,1703.9127818875586
562,1.1740000000000002,1703.9127818875586
564,1.1780000000000002,1719.0465123106906
565,1.1800000000000002,1726.6436091246055
566,1.1820000000000002,1734.2608841439285
566,1.1820000000000002,1734.2608841439285
569,1.1880000000000002,1757.233956687245
569,1.1880000000000002,1757.233956687245
570,1.1900000000000002,1764.932122702602
572,1.1940000000000002,1780.3892741309871
573,1.1960000000000002,1788.1482950382924
573,1.1960000000000002,1788.1482950382924
573,1.1960000000000002,1788.1482950382924
574,1.1980000000000002,1795.9276363780205
574,1.1980000000000002,1795.9276363780205
577,1.204,1819.3877599991881
578,1.206,1827.248559999188
579,1.208,1835.1297688201748
592,1.234,1939.450688039561
594,1.238,1955.8089133381695
595,1.24,1964.0190509740437
595,1.24,1964.0190509740437
602,1.254,2022.0707691688854
606,1.262,2055.701011394639
606,1.262,2055.701011394639
608,1.266,2072.6414448542655
608,1.266,2072.6414448542655
611,1.272,2098.209122856001
613,1.276,2115.3591271417154
617,1.284,2149.9114782142956
621,1.292,2184.8011976422704
623,1.296,2202.3729115427423
623,1.296,2202.3729115427423
625,1.3,2220.0293763565155
625,1.3,2220.0293763565155
633,1.316,2291.505457875581
637,1.324,2327.7555251505914
639,1.328,2346.009037210467
639,1.328,2346.009037210467
641,1.332,2364.348380717802
641,1.332,2364.348380717802
641,1.332,2364.348380717802
643,1.336,2382.7736897844097
646,1.342,2410.573131663707
647,1.344,2419.8827399991847
648,1.346,2429.2139399991847
653,1.356,2476.194397851475
655,1.36,2495.1383049912397
656,1.362,2504.642837232229
657,1.364,2514.169110677811
662,1.374,2562.1271748590375
665,1.3800000000000001,2591.1639652271274
669,1.3880000000000001,2630.186218416848
670,1.3900000000000001,2639.9966292135473
670,1.3900000000000001,2639.9966292135473
671,1.3920000000000001,2649.829011809846
673,1.3960000000000001,2669.55975790319
673,1.3960000000000001,2669.55975790319
679,1.4080000000000001,2729.2810202367355
682,1.4140000000000001,2759.440034721966
683,1.4160000000000001,2769.537352971878
684,1.4180000000000001,2779.656854999152
689,1.4280000000000002,2830.587689156962
689,1.4280000000000002,2830.587689156962
691,1.4320000000000002,2851.115876127077
693,1.4360000000000002,2871.7333159826953
698,1.4460000000000002,2923.668242958769
698,1.4460000000000002,2923.668242958769
699,1.4480000000000002,2934.122441717163
699,1.4480000000000002,2934.122441717163
699,1.4480000000000002,2934.122441717163
710,1.47,3050.603317285775
710,1.47,3050.603317285775
711,1.472,3061.327874988543
714,1.478,3093.6374133027994
717,1.484,3126.1510829744984
719,1.488,3147.94048050908
720,1.49,3158.8693121026213
721,1.492,3169.820919999182
725,1.5,3213.855430459983
725,1.5,3213.855430459983
726,1.502,3224.921156659379
728,1.506,3247.1212376186913
729,1.508,3258.255623837967
729,1.508,3258.255623837967
731,1.512,3280.59316632321
733,1.516,3303.022506835138
733,1.516,3303.022506835138
734,1.518,3314.271640547562
734,1.518,3314.271640547562
736,1.522,3336.8389131847252
739,1.528,3370.8625697501257
740,1.53,3382.2499171146355
751,1.552,3509.0381187797857
755,1.56,3555.8396674328205
757,1.564,3579.380317659185
759,1.568,3603.014383075867
759,1.568,3603.014383075867
763,1.576,3650.5632522746428
764,1.578,3662.5090464332575
765,1.58,3674.47830204921
768,1.586,3710.5269909840426
772,1.594,3758.9212994080945
773,1.596,3771.078798058721
773,1.596,3771.078798058721
773,1.596,3771.078798058721
773,1.596,3771.078798058721
774,1.598,3783.2598958614644
774,1.598,3783.2598958614644
774,1.598,3783.2598958614644
776,1.602,3807.6929499128937
778,1.606,3832.2205834432607
779,1.608,3844.519905557914
782,1.614,3881.560075680638
783,1.616,3893.9542509190314
784,1.618,3906.372177367517
786,1.622,3931.279344494271
786,1.622,3931.279344494271
790,1.6300000000000001,3981.3793593238315
792,1.6340000000000001,4006.572448770742
792,1.6340000000000001,4006.572448770742
793,1.6360000000000001,4019.2048168084457
795,1.6400000000000001,4044.5412748426697
796,1.6420000000000001,4057.245394942858
799,1.6480000000000001,4095.50149999918
801,1.6520000000000001,4121.125507497618
801,1.6520000000000001,4121.125507497618
801,1.6520000000000001,4121.125507497618
803,1.6560000000000001,4146.8456049430015
803,1.6560000000000001,4146.8456049430015
804,1.6580000000000001,4159.741724843188
807,1.6640000000000001,4198.574548777591
808,1.6660000000000001,4211.567027980576
809,1.6680000000000001,4224.5836343462925
813,1.6760000000000002,4276.891629625046
813,1.6760000000000002,4276.891629625046
815,1.6800000000000002,4303.190777628737
816,1.6820000000000002,4316.376691276263
816,1.6820000000000002,4316.376691276263
817,1.6840000000000002,4329.586851160231
820,1.6900000000000002,4369.362956616652
824,1.6980000000000002,4422.738110649237
827,1.7040000000000002,4463.025254011857
827,1.7040000000000002,4463.025254011857
828,1.7060000000000002,4476.503100154323
830,1.7100000000000002,4503.532078450219
830,1.7100000000000002,4503.532078450219
830,1.7100000000000002,4503.532078450219
832,1.7140000000000002,4530.658869618362
834,1.718,4557.883591363864
834,1.718,4557.883591363864
835,1.72,4571.532712947321
835,1.72,4571.532712947321
836,1.722,4585.206361250535
837,1.724,4598.904550946988
838,1.726,4612.627296701392
839,1.728,4626.374613169707
839,1.728,4626.374613169707
840,1.73,4640.146514999156
842,1.734,4667.764133286764
845,1.74,4709.37531660664
845,1.74,4709.37531660664
851,1.752,4793.264249365053
852,1.754,4807.332314852532
854,1.758,4835.54278531511
854,1.758,4835.54278531511
855,1.76,4849.685219334755
857,1.764,4878.044557498401
859,1.768,4906.503285792548
860,1.77,4920.769957443637
860,1.77,4920.769957443637
860,1.77,4920.769957443637
862,1.774,4949.377988090293
863,1.776,4963.719375995234
863,1.776,4963.719375995234
864,1.778,4978.085698213534
864,1.778,4978.085698213534
866,1.782,5006.893203316892
866,1.782,5006.893203316892
866,1.782,5006.893203316892
868,1.786,5035.800618770371
869,1.788,5050.291828895133
871,1.792,5079.349325901586
873,1.796,5108.507021101996
876,1.802,5152.431686837779
877,1.804,5167.1234655782855
879,1.808,5196.582444272735
880,1.81,5211.349672854971
880,1.81,5211.349672854971
880,1.81,5211.349672854971
882,1.814,5240.959679999178
882,1.814,5240.959679999178
882,1.814,5240.959679999178
884,1.818,5270.670515701326
885,1.82,5285.563779950644
886,1.822,5300.482294150121
887,1.824,5315.426072553189
888,1.826,5330.395129405242
889,1.828,5345.389478943653
890,1.83,5360.409135397778
891,1.832,5375.454112988988
891,1.832,5375.454112988988
892,1.834,5390.524425930664
893,1.836,5405.620088428215
895,1.84,5435.887518872836
898,1.846,5481.479140887415
900,1.85,5512.000705062929
902,1.854,5542.624120886119
903,1.856,5557.974058496417
904,1.858,5573.349501399955
905,1.86,5588.750463707552
906,1.862,5604.176959522221
907,1.864,5619.629002939193
907,1.864,5619.629002939193
907,1.864,5619.629002939193
909,1.868,5650.609788922122
909,1.868,5650.609788922122
909,1.868,5650.609788922122
910,1.87,5666.138559639729
911,1.872,5681.6929342629655
911,1.872,5681.6929342629655
911,1.872,5681.6929342629655
911,1.872,5681.6929342629655
911,1.872,5681.6929342629655
912,1.874,5697.272926848331
914,1.8780000000000001,5728.509822092897
919,1.8880000000000001,5807.051357015559
919,1.8880000000000001,5807.051357015559
922,1.8940000000000001,5854.484927552893
923,1.8960000000000001,5870.347643254815
923,1.8960000000000001,5870.347643254815
924,1.8980000000000001,5886.236144999159
924,1.8980000000000001,5886.236144999159
925,1.9000000000000001,5902.150446743187
925,1.9000000000000001,5902.150446743187
931,1.9120000000000001,5998.178837858229
932,1.9140000000000001,6014.274129771083
937,1.9240000000000002,6095.139537826738
939,1.9280000000000002,6127.66746930908
